date,signal_date,symbol,action,side,qty,price,trade_value,fee,reason
2021-02-01,2021-01-31,ETHUSDT,OPEN,BUY,50.56554583258365,1313.106225,66397.9330032884,26.559173201315364,signal_open_with_atr_risk
2021-02-03,2021-02-02,BTCUSDT,OPEN,BUY,2.5246350900532963,35490.446355,89600.4262294871,35.840170491794844,signal_open_with_atr_risk
2021-02-26,2021-02-25,ETHUSDT,CLOSE,SELL,50.56554583258365,1481.33896,74904.71307547181,29.961885230188724,signal_or_risk_exit
2021-02-28,2021-02-27,BTCUSDT,CLOSE,SELL,2.5246350900532963,46080.618165,116336.74559070634,46.53469823628254,signal_or_risk_exit
2021-03-01,2021-02-28,ETHUSDT,OPEN,BUY,46.414460997297375,1419.379335,65879.72678472739,26.351890713890956,signal_open_with_atr_risk
2021-03-03,2021-03-02,ETHUSDT,CLOSE,SELL,46.414460997297375,1486.046605,68974.05218793868,27.589620875175473,signal_or_risk_exit
2021-03-07,2021-03-06,ETHUSDT,OPEN,BUY,45.33793636101671,1651.50534,74875.84400479926,29.950337601919706,signal_open_with_atr_risk
2021-03-08,2021-03-07,BTCUSDT,OPEN,BUY,2.085012448468744,50984.589555,106303.50390224448,42.52140156089779,signal_open_with_atr_risk
2021-03-23,2021-03-22,BTCUSDT,CLOSE,SELL,2.085012448468744,54056.208375,112707.86737889537,45.08314695155815,signal_or_risk_exit
2021-03-23,2021-03-22,ETHUSDT,CLOSE,SELL,45.33793636101671,1680.3294150000002,76182.66808281445,30.47306723312578,signal_or_risk_exit
2021-03-26,2021-03-25,BTCUSDT,OPEN,BUY,2.2471492899852383,51319.426889999995,115322.41369831283,46.12896547932513,signal_open_with_atr_risk
2021-03-27,2021-03-26,ETHUSDT,OPEN,BUY,83.8070919473368,1699.68942,142446.02750385556,56.97841100154223,signal_open_with_atr_risk
2021-03-28,2021-03-27,BTCUSDT,CLOSE,SELL,2.2471492899852383,55789.23143,125366.73179674664,50.14669271869866,signal_or_risk_exit
2021-03-29,2021-03-28,ETHUSDT,CLOSE,SELL,83.8070919473368,1686.31642,141325.27526324382,56.53011010529753,signal_or_risk_exit
2021-04-03,2021-04-02,ETHUSDT,OPEN,BUY,74.44930302682124,2134.756845,158931.15924198585,63.572463696794344,signal_open_with_atr_risk
2021-04-25,2021-04-24,ETHUSDT,CLOSE,SELL,74.44930302682124,2212.97296,164754.29448920157,65.90171779568063,signal_or_risk_exit
2021-04-27,2021-04-26,ETHUSDT,OPEN,BUY,36.93049951922474,2533.3260299999997,93556.99573295451,37.422798293181806,signal_open_with_atr_risk
2021-05-06,2021-05-05,BTCUSDT,OPEN,BUY,2.8187477594848365,57464.828055,161978.85532921262,64.79154213168505,signal_open_with_atr_risk
2021-05-13,2021-05-12,BTCUSDT,CLOSE,SELL,2.8187477594848365,49512.38142500001,139562.9142084774,55.825165683390956,signal_or_risk_exit
2021-05-18,2021-05-17,ETHUSDT,CLOSE,SELL,36.93049951922474,3280.6088750000004,121154.52448095192,48.46180979238077,signal_or_risk_exit
2021-05-21,2021-05-20,ETHUSDT,OPEN,BUY,14.91741335060181,2769.2539349999997,41310.10562117559,16.524042248470238,signal_open_with_atr_risk
2021-05-23,2021-05-22,ETHUSDT,CLOSE,SELL,14.91741335060181,2294.302275,34225.05538740111,13.690022154960444,signal_or_risk_exit
2021-05-25,2021-05-24,ETHUSDT,OPEN,BUY,14.348887427348293,2649.24396,38013.7033496224,15.205481339848962,signal_open_with_atr_risk
2021-05-27,2021-05-26,ETHUSDT,CLOSE,SELL,14.348887427348293,2883.3775900000005,41373.260449448826,16.549304179779533,signal_or_risk_exit
2021-06-04,2021-06-03,ETHUSDT,OPEN,BUY,24.98718447155639,2858.678625,71430.33014777018,28.57213205910807,signal_open_with_atr_risk
2021-06-06,2021-06-05,ETHUSDT,CLOSE,SELL,24.98718447155639,2626.316185,65624.24699522922,26.24969879809169,signal_or_risk_exit
2021-08-03,2021-08-02,ETHUSDT,OPEN,BUY,56.63658336096547,2608.2234599999997,147720.86541631576,59.08834616652631,signal_open_with_atr_risk
2021-09-04,2021-09-03,BTCUSDT,OPEN,BUY,5.05513753904503,50022.998999999996,252873.14006051197,101.14925602420479,signal_open_with_atr_risk
2021-09-08,2021-09-07,BTCUSDT,CLOSE,SELL,5.05513753904503,46845.135715000004,236808.60407455557,94.72344162982223,signal_or_risk_exit
2021-09-12,2021-09-11,ETHUSDT,CLOSE,SELL,56.63658336096547,3265.46645,184944.86280786098,73.9779451231444,signal_or_risk_exit
2021-09-13,2021-09-12,ETHUSDT,OPEN,BUY,31.368180372349787,3406.00215,106840.08978981117,42.73603591592447,signal_open_with_atr_risk
2021-09-15,2021-09-14,ETHUSDT,CLOSE,SELL,31.368180372349787,3432.652815,107676.07265657424,43.0704290626297,signal_or_risk_exit
2021-09-17,2021-09-16,ETHUSDT,OPEN,BUY,34.10065760929115,3569.753985,121730.95839188765,48.69238335675506,signal_open_with_atr_risk
2021-09-19,2021-09-18,BTCUSDT,OPEN,BUY,3.4821890401702484,48316.896375,168248.5670120666,67.29942680482664,signal_open_with_atr_risk
2021-09-19,2021-09-18,ETHUSDT,CLOSE,SELL,34.10065760929115,3433.92218,117099.00451713064,46.83960180685226,signal_or_risk_exit
2021-09-21,2021-09-20,BTCUSDT,CLOSE,SELL,3.4821890401702484,42995.13168,149717.17631677265,59.88687052670906,signal_or_risk_exit
2021-10-02,2021-10-01,ETHUSDT,OPEN,BUY,31.855531517047233,3311.564955,105491.66179475159,42.19666471790064,signal_open_with_atr_risk
2021-10-06,2021-10-05,BTCUSDT,OPEN,BUY,3.242131602238942,51497.72599499999,166962.40489183133,66.78496195673253,signal_open_with_atr_risk
2021-10-27,2021-10-26,BTCUSDT,CLOSE,SELL,3.242131602238942,60298.645595,195496.14445575548,78.1984577823022,signal_or_risk_exit
2021-11-03,2021-11-02,BTCUSDT,OPEN,BUY,3.178602088072375,63252.180284999995,201053.51232903128,80.42140493161251,signal_open_with_atr_risk
2021-11-05,2021-11-04,BTCUSDT,CLOSE,SELL,3.178602088072375,61364.312495000006,195052.73182973274,78.0210927318931,signal_or_risk_exit
2021-11-08,2021-11-07,BTCUSDT,OPEN,BUY,3.4102694194286634,63305.21679,215887.84490923898,86.3551379636956,signal_open_with_atr_risk
2021-11-16,2021-11-15,BTCUSDT,CLOSE,SELL,3.4102694194286634,63574.926635,216807.62814576132,86.72305125830454,signal_or_risk_exit
2021-11-17,2021-11-16,ETHUSDT,CLOSE,SELL,31.855531517047233,4207.485205,134031.67755538743,53.61267102215498,signal_or_risk_exit
2021-11-18,2021-11-17,ETHUSDT,OPEN,BUY,40.73078173544721,4290.214034999999,174743.77145793723,69.8975085831749,signal_open_with_atr_risk
2021-11-20,2021-11-19,ETHUSDT,CLOSE,SELL,40.73078173544721,4292.602625,174841.06059588277,69.93642423835311,signal_or_risk_exit
2021-11-21,2021-11-20,ETHUSDT,OPEN,BUY,37.279294964312584,4414.376085,164564.82815612238,65.82593126244896,signal_open_with_atr_risk
2021-11-23,2021-11-22,ETHUSDT,CLOSE,SELL,37.279294964312584,4084.2368600000004,152257.47060805786,60.90298824322315,signal_or_risk_exit
2021-11-24,2021-11-23,ETHUSDT,OPEN,BUY,35.66435854856961,4341.619725,154841.08255394216,61.93643302157687,signal_open_with_atr_risk
2021-11-26,2021-11-25,ETHUSDT,CLOSE,SELL,35.66435854856961,4522.2177599999995,161281.9956273493,64.51279825093972,signal_or_risk_exit
2021-11-30,2021-11-29,ETHUSDT,OPEN,BUY,31.68070401561439,4446.76227,140876.55930367156,56.35062372146863,signal_open_with_atr_risk
2021-12-03,2021-12-02,ETHUSDT,CLOSE,SELL,31.68070401561439,4509.094325000001,142851.28268881157,57.14051307552463,signal_or_risk_exit
2021-12-09,2021-12-08,ETHUSDT,OPEN,BUY,26.979204689411187,4439.128455,119764.15523003464,47.905662092013856,signal_open_with_atr_risk
2021-12-11,2021-12-10,ETHUSDT,CLOSE,SELL,26.979204689411187,3896.360845,105120.71678106213,42.048286712424854,signal_or_risk_exit
2023-01-26,2023-01-25,ETHUSDT,OPEN,BUY,111.9922190614711,1612.755975,180616.12044489643,72.24644817795857,signal_open_with_atr_risk
2023-01-27,2023-01-26,BTCUSDT,OPEN,BUY,9.94230518829479,23021.154825,228883.34705713516,91.55333882285407,signal_open_with_atr_risk
2023-02-07,2023-02-06,BTCUSDT,CLOSE,SELL,9.94230518829479,22751.138740000002,226198.76473431662,90.47950589372665,signal_or_risk_exit
2023-02-10,2023-02-09,ETHUSDT,CLOSE,SELL,111.9922190614711,1544.577325,172980.64213878106,69.19225685551243,signal_or_risk_exit
2023-02-21,2023-02-20,BTCUSDT,OPEN,BUY,9.075563783049425,24856.311944999998,225585.0444682208,90.23401778728832,signal_open_with_atr_risk
2023-02-23,2023-02-22,ETHUSDT,OPEN,BUY,126.68676009041862,1643.971575,208269.43251749265,83.30777300699707,signal_open_with_atr_risk
2023-02-28,2023-02-27,BTCUSDT,CLOSE,SELL,9.075563783049425,23480.343955,213097.3592115415,85.2389436846166,signal_or_risk_exit
2023-03-01,2023-02-28,ETHUSDT,CLOSE,SELL,126.68676009041862,1604.43738,203260.9734401598,81.30438937606392,signal_or_risk_exit
2023-03-02,2023-03-01,ETHUSDT,OPEN,BUY,139.24034763730467,1666.0626149999998,231983.13769811686,92.79325507924675,signal_open_with_atr_risk
2023-03-04,2023-03-03,ETHUSDT,CLOSE,SELL,139.24034763730467,1568.665275,218421.49821756812,87.36859928702725,signal_or_risk_exit
2023-03-14,2023-03-13,BTCUSDT,OPEN,BUY,7.665427815021027,24124.326135,184923.2805738677,73.96931222954709,signal_open_with_atr_risk
2023-03-14,2023-03-13,ETHUSDT,OPEN,BUY,110.97509582601552,1674.27672,185803.01944126695,74.32120777650678,signal_open_with_atr_risk
2023-04-21,2023-04-20,BTCUSDT,CLOSE,SELL,7.665427815021027,28229.528175000003,216391.4104775648,86.55656419102591,signal_or_risk_exit
2023-04-23,2023-04-22,ETHUSDT,CLOSE,SELL,110.97509582601552,1873.2329150000003,207882.20224657143,83.15288089862858,signal_or_risk_exit
2023-04-25,2023-04-24,ETHUSDT,OPEN,BUY,111.75326001328695,1842.7609199999997,205934.54023508384,82.37381609403354,signal_open_with_atr_risk
2023-04-27,2023-04-26,ETHUSDT,CLOSE,SELL,111.75326001328695,1865.0769950000001,208428.4343670349,83.37137374681397,signal_or_risk_exit
2023-04-28,2023-04-27,BTCUSDT,OPEN,BUY,8.429883119111826,29487.506385,248576.23229961368,99.43049291984548,signal_open_with_atr_risk
