date,equity,cash,pnl_spot,pnl_fees,pnl_total,n_positions
2021-05-30,959081.2167690484,927837.6803564727,-1831.7739034379154,-13.23673918846862,-1845.010642626384,1.0
2021-05-31,962017.5393675534,929305.8416557253,1468.161299252486,-0.0,1468.161299252486,1.0
2021-06-01,961988.1053819524,961988.1053819524,0.0,-13.07813674518888,-13.07813674518888,0.0
2021-06-02,959882.9894000334,921930.094513916,-1035.0095351794896,-15.602959349403024,-1050.6124945288927,1.0
2021-06-03,961954.7373281906,922965.9684779946,1035.8739640785807,-0.0,1035.8739640785807,1.0
2021-06-04,961919.6552339792,961919.6552339792,0.0,-15.587709786308363,-15.587709786308363,0.0
2021-06-05,961919.6552339792,961919.6552339792,0.0,-0.0,0.0,0.0
2021-06-06,959180.9262696025,902175.9966088862,-1343.1020331229802,-23.35088228387447,-1366.4529154068546,1.0
2021-06-07,962838.1729299783,904004.6199390742,1828.6233301879536,-0.0,1828.6233301879536,1.0
2021-06-08,962785.2344989972,962785.2344989972,0.0,-23.521654485763513,-23.521654485763513,0.0
2021-06-09,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-10,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-11,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-12,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-13,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-14,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-15,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-16,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-17,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-18,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-19,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-20,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-21,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-22,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-23,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-24,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-25,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-26,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-27,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-28,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-29,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-06-30,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-01,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-02,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-03,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-04,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-05,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-06,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-07,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-08,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-09,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-10,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-11,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-12,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-13,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-14,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-15,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-16,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-17,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-18,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-19,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-20,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-21,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-22,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-23,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-24,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-25,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-26,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-27,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-28,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-29,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-30,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-07-31,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-08-01,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-08-02,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-08-03,962785.2344989972,962785.2344989972,0.0,-0.0,0.0,0.0
2021-08-04,953028.759826941,830145.7266133351,-4820.757859666073,-51.10705718752346,-4871.864916853597,1.0
2021-08-05,974194.8309173232,840728.7621585262,10583.035545191136,-0.0,10583.035545191136,1.0
2021-08-06,984233.136989905,845747.9151948171,5019.1530362908925,-0.0,5019.1530362908925,1.0
2021-08-07,990555.3299516824,848909.0116757058,3161.096480888639,-0.0,3161.096480888639,1.0
2021-08-08,1016904.1688659918,862083.4311328605,13174.41945715472,-0.0,13174.41945715472,1.0
2021-08-09,1002341.473037097,854802.083218413,-7281.347914447369,-0.0,-7281.347914447369,1.0
2021-08-10,1016907.1080537935,862084.9007267613,7282.817508348303,-0.0,7282.817508348303,1.0
2021-08-11,1015009.3724630664,861136.0329313977,-948.8677953636179,-0.0,-948.8677953636179,1.0
2021-08-12,1016896.3310318534,862079.5122157913,943.4792843935551,-0.0,943.4792843935551,1.0
2021-08-13,1005699.0052360758,856480.8493179025,-5598.662897888793,-0.0,-5598.662897888793,1.0
2021-08-14,1032761.0870569673,870011.8902283482,13531.040910445725,-0.0,13531.040910445725,1.0
2021-08-15,1026964.0289824537,867113.3611910914,-2898.5290372568065,-0.0,-2898.5290372568065,1.0
2021-08-16,1031293.4526145774,869278.0730071532,2164.7118160618265,-0.0,2164.7118160618265,1.0
2021-08-17,1015601.1289405053,861431.9111701172,-7846.1618370360375,-0.0,-7846.1618370360375,1.0
2021-08-18,1002330.6960151569,854796.694707443,-6635.216462674217,-0.0,-6635.216462674217,1.0
2021-08-19,1002570.7296856412,854916.7115426852,120.01683524216055,-0.0,120.01683524216055,1.0
2021-08-20,1019219.2691245816,863240.9812621553,8324.26971947016,-0.0,8324.26971947016,1.0
2021-08-21,1029085.1428461215,868173.9181229253,4932.936860769977,-0.0,4932.936860769977,1.0
2021-08-22,1023064.7064986674,865163.6999491983,-3010.218173727058,-0.0,-3010.218173727058,1.0
2021-08-23,1024499.0301459697,865880.8617728495,717.1618236511615,-0.0,717.1618236511615,1.0
2021-08-24,1032658.2154839027,869960.454441816,4079.5926689664884,-0.0,4079.5926689664884,1.0
2021-08-25,1017898.5940722842,862580.6437360067,-7379.810705809323,-0.0,-7379.810705809323,1.0
2021-08-26,1023409.5712007512,865336.1323002402,2755.4885642334825,-0.0,2755.4885642334825,1.0
2021-08-27,1010298.8341459698,858780.7637728496,-6555.3685273906685,-0.0,-6555.3685273906685,1.0
2021-08-28,1010162.4981862481,1010162.4981862481,0.0,-60.5769245351735,-60.5769245351735,0.0
2021-08-29,1007395.7312111238,860770.1526020888,-1316.7946253693694,-59.20653776840864,-1376.0011631377781,1.0
2021-08-30,1005472.5061165555,859808.5400548046,-961.6125472841651,-0.0,-961.6125472841651,1.0
2021-08-31,1005984.9443818845,860064.7591874691,256.2191326645317,-0.0,256.2191326645317,1.0
2021-09-01,1024064.8870589705,869104.7305260121,9039.971338543026,-0.0,9039.971338543026,1.0
2021-09-02,1060001.5409289517,887073.0574610027,17968.326934990557,-0.0,17968.326934990557,1.0
2021-09-03,1056296.0790456198,885220.3265193368,-1852.730941665902,-0.0,-1852.730941665902,1.0
2021-09-04,1076141.3300621337,689686.7549689588,10015.05973790625,-82.18657788416004,9932.873160022089,2.0
2021-09-05,1070725.4775392262,686978.828707505,-2707.9262614538115,-0.0,-2707.9262614538115,2.0
2021-09-06,1091910.6585120743,697571.4191939291,10592.5904864241,-0.0,10592.5904864241,2.0
2021-09-07,1097360.7798357545,700296.4798557692,2725.0606618401143,-0.0,2725.0606618401143,2.0
2021-09-08,1004557.1155424151,653894.6477090995,-46401.832146669694,-0.0,-46401.832146669694,2.0
2021-09-09,1010180.7520684792,852065.5303075424,2899.7498665049043,-78.13970897636574,2821.6101575285384,1.0
2021-09-10,1003486.5188563234,848718.4137014645,-3347.1166060778946,-0.0,-3347.1166060778946,1.0
2021-09-11,983956.9271887827,838953.6178676941,-9764.795833770368,-0.0,-9764.795833770368,1.0
2021-09-12,989221.394376687,841585.8514616463,2632.233593952166,-0.0,2632.233593952166,1.0
2021-09-13,989088.551915172,989088.551915172,0.0,-59.02469005743327,-59.02469005743327,0.0
2021-09-14,982604.7780087694,894401.2852953479,-3200.745905398933,-36.57997629525194,-3237.325881694185,1.0
2021-09-15,990621.0073311074,898409.3999565169,4008.11466116896,-0.0,4008.11466116896,1.0
2021-09-16,990538.0353267918,990538.0353267918,0.0,-36.86620062836127,-36.86620062836127,0.0
2021-09-17,990538.0353267918,990538.0353267918,0.0,-0.0,0.0,0.0
2021-09-18,977892.0548822763,737561.7580690188,-6212.021524773774,-98.66623579888011,-6310.687760572654,2.0
2021-09-19,985901.76197638,741566.6116160707,4004.8535470518477,-0.0,4004.8535470518477,2.0
2021-09-20,985681.9092080857,985681.9092080857,0.0,-97.68519311405167,-97.68519311405167,0.0
2021-09-21,985681.9092080857,985681.9092080857,0.0,-0.0,0.0,0.0
2021-09-22,985681.9092080857,985681.9092080857,0.0,-0.0,0.0,0.0
2021-09-23,985681.9092080857,985681.9092080857,0.0,-0.0,0.0,0.0
2021-09-24,985681.9092080857,985681.9092080857,0.0,-0.0,0.0,0.0
2021-09-25,985681.9092080857,985681.9092080857,0.0,-0.0,0.0,0.0
2021-09-26,985681.9092080857,985681.9092080857,0.0,-0.0,0.0,0.0
2021-09-27,985681.9092080857,985681.9092080857,0.0,-0.0,0.0,0.0
2021-09-28,985681.9092080857,985681.9092080857,0.0,-0.0,0.0,0.0
2021-09-29,985681.9092080857,985681.9092080857,0.0,-0.0,0.0,0.0
2021-09-30,985681.9092080857,985681.9092080857,0.0,-0.0,0.0,0.0
2021-10-01,985681.9092080857,985681.9092080857,0.0,-0.0,0.0,0.0
2021-10-02,985681.9092080857,985681.9092080857,0.0,-0.0,0.0,0.0
2021-10-03,989998.8412266135,894249.6421708999,2200.5722461908204,-37.43816044917103,2163.1340857416494,1.0
2021-10-04,991692.3717813496,895096.4074482679,846.7652773680574,-0.0,846.7652773680574,1.0
2021-10-05,989916.3127015829,894208.3779083845,-888.0295398833241,-0.0,-888.0295398833241,1.0
2021-10-06,997217.8261113046,897859.1346132454,3650.7567048608776,-0.0,3650.7567048608776,1.0
2021-10-07,1022551.1806008924,762399.0917061905,12733.319086041458,-59.253643339902595,12674.065442701556,2.0
2021-10-08,1014461.9700311256,758354.4864213071,-4044.605284883404,-0.0,-4044.605284883404,2.0
2021-10-09,1014066.7225759653,758156.862693727,-197.62372758010997,-0.0,-197.62372758010997,2.0
2021-10-10,1020446.8856806469,761346.9442460678,3190.081552340721,-0.0,3190.081552340721,2.0
2021-10-11,1009695.7178775931,755971.3603445409,-5375.583901526899,-0.0,-5375.583901526899,2.0
2021-10-12,1033104.9330436697,767675.9679275792,11704.607583038229,-0.0,11704.607583038229,2.0
2021-10-13,1021757.1056573648,762002.0542344268,-5673.913693152406,-0.0,-5673.913693152406,2.0
2021-10-14,1036217.2457797489,769232.1242956189,7230.070061192027,-0.0,7230.070061192027,2.0
2021-10-15,1046453.0634510899,774350.0331312893,5117.908835670501,-0.0,5117.908835670501,2.0
2021-10-16,1075716.134541165,788981.568676327,14631.53554503767,-0.0,14631.53554503767,2.0
2021-10-17,1068960.0848647458,785603.5438381173,-3378.0248382097016,-0.0,-3378.0248382097016,2.0
2021-10-18,1073678.5880528812,787962.7954321849,2359.251594067712,-0.0,2359.251594067712,2.0
2021-10-19,1070656.444036231,786451.7234238598,-1511.0720083251895,-0.0,-1511.0720083251895,2.0
2021-10-20,1091207.1545946924,796727.0787030907,10275.355279230811,-0.0,10275.355279230811,2.0
2021-10-21,1117182.57384141,809714.7883264495,12987.709623358776,-0.0,12987.709623358776,2.0
2021-10-22,1110885.978490306,996335.2552201882,-3062.8822799858535,-75.9037011499498,-3138.7859811358035,1.0
2021-10-23,1097999.242562987,821060.5182726533,-6367.411152640617,-67.53591595157704,-6434.947068592194,2.0
2021-10-24,1112266.5547707216,828194.1743765207,7133.656103867348,-0.0,7133.656103867348,2.0
2021-10-25,1105115.0024967487,824618.3982395343,-3575.77613698635,-0.0,-3575.77613698635,2.0
2021-10-26,1125000.4726618498,834561.1333220848,9942.735082550485,-0.0,9942.735082550485,2.0
2021-10-27,1105055.0853505768,824588.4396664483,-9972.693655636462,-0.0,-9972.693655636462,2.0
2021-10-28,1093063.8171934804,982215.8549042701,-5921.986934810728,-65.44593924475093,-5987.432874055478,1.0
2021-10-29,1113640.5525918463,992504.2226034531,10288.367699182918,-0.0,10288.367699182918,1.0
2021-10-30,1121151.7788973649,996259.8357562124,3755.6131527592597,-0.0,3755.6131527592597,1.0
2021-10-31,1115713.3752034009,993540.6339092304,-2719.2018469820005,-0.0,-2719.2018469820005,1.0
2021-11-01,1113723.646380747,992545.7694979034,-994.8644113269759,-0.0,-994.8644113269759,1.0
2021-11-02,1115529.6644456275,993448.7785303437,903.0090324402541,-0.0,903.0090324402541,1.0
2021-11-03,1130805.920534327,1001086.9065746934,7638.128044349707,-0.0,7638.128044349707,1.0
2021-11-04,1129550.4041199877,818514.8094993143,-545.9019037671054,-72.7813655224358,-618.6832692895412,2.0
2021-11-05,1116896.3507837038,812187.7828311722,-6327.026668142009,-0.0,-6327.026668142009,2.0
2021-11-06,1113454.9489003338,986998.6379987566,-1641.2436467544578,-70.60908315899913,-1711.8527299134569,1.0
2021-11-07,1115928.5435957694,988235.4353464744,1236.7973477178348,-0.0,1236.7973477178348,1.0
2021-11-08,1121275.3745427819,990908.8508199806,2673.4154735061607,-0.0,2673.4154735061607,1.0
2021-11-09,1158390.9923860256,814102.4396444007,18645.70279605477,-78.14958575435213,18567.55321030042,2.0
2021-11-10,1154700.1208708761,948084.7365860881,-1784.2993553659455,-54.32836986676805,-1838.6277252327136,1.0
2021-11-11,1133409.30182692,746253.243297386,-10559.395380639868,-76.47824786407931,-10635.873628503947,2.0
2021-11-12,1140036.1993922656,749566.692080059,3313.4487826729805,-0.0,3313.4487826729805,2.0
2021-11-13,1131688.3034898713,745392.7441288617,-4173.947951197235,-0.0,-4173.947951197235,2.0
2021-11-14,1131567.3090116004,745332.2468897263,-60.49723913540561,-0.0,-60.49723913540561,2.0
2021-11-15,1137163.1707220546,748130.1777449533,2797.930855227087,-0.0,2797.930855227087,2.0
2021-11-16,1120292.809185079,739694.9969764656,-8435.180768487711,-0.0,-8435.180768487711,2.0
2021-11-17,1119950.3472736538,1119950.3472736538,0.0,-152.1630053210037,-152.1630053210037,0.0
2021-11-18,1126070.419774963,954736.5490190084,3135.742228304865,-67.31289103676544,3068.4293372680995,1.0
2021-11-19,1102802.4772516314,943102.5777573426,-11633.971261665793,-0.0,-11633.971261665793,1.0
2021-11-20,1102658.7792820665,1102658.7792820665,0.0,-63.84801981781668,-63.84801981781668,0.0
2021-11-21,1110630.5124812142,958350.7646864137,4052.5836461572194,-59.320511092287084,3993.263135064932,1.0
2021-11-22,1100105.9437786152,953088.4803351142,-5262.284351299539,-0.0,-5262.284351299539,1.0
2021-11-23,1099973.6574650088,1099973.6574650088,0.0,-58.777581884711736,-58.777581884711736,0.0
2021-11-24,1099973.6574650088,1099973.6574650088,0.0,-0.0,0.0,0.0
2021-11-25,1095275.3804130794,954593.6392477052,-2284.7892906064535,-57.21520548848343,-2342.0044960949367,1.0
2021-11-26,1112036.8713934536,962974.3847378923,8380.745490187057,-0.0,8380.745490187057,1.0
2021-11-27,1111902.744967961,1111902.744967961,0.0,-59.59518216489336,-59.59518216489336,0.0
2021-11-28,1111902.744967961,1111902.744967961,0.0,-0.0,0.0,0.0
2021-11-29,1111902.744967961,1111902.744967961,0.0,-0.0,0.0,0.0
2021-11-30,1120447.1053488068,992009.1263457496,4328.042073035192,-49.66879675939485,4278.373276275796,1.0
2021-12-01,1131180.372269864,997375.7598062782,5366.633460528598,-0.0,5366.633460528598,1.0
2021-12-02,1128446.6286622714,996008.8880024819,-1366.871803796261,-0.0,-1366.871803796261,1.0
2021-12-03,1128327.461183226,1128327.461183226,0.0,-52.9486087157839,-52.9486087157839,0.0
2021-12-04,1128327.461183226,1128327.461183226,0.0,-0.0,0.0,0.0
2021-12-05,1128327.461183226,1128327.461183226,0.0,-0.0,0.0,0.0
2021-12-06,1128327.461183226,1128327.461183226,0.0,-0.0,0.0,0.0
2021-12-07,1128327.461183226,1128327.461183226,0.0,-0.0,0.0,0.0
2021-12-08,1126094.687823731,1014618.6914943169,-1065.7316479848566,-45.03919953655506,-1110.7708475214117,1.0
2021-12-09,1132851.4834214237,1017997.0892931633,3378.3977988463353,-0.0,3378.3977988463353,1.0
2021-12-10,1115700.8920671395,1009421.7936160212,-8575.29567714215,-0.0,-8575.29567714215,1.0
2021-12-11,1115605.2621343532,1115605.2621343532,0.0,-42.49038356075709,-42.49038356075709,0.0
2021-12-12,1115605.2621343532,1115605.2621343532,0.0,-0.0,0.0,0.0
2021-12-13,1115605.2621343532,1115605.2621343532,0.0,-0.0,0.0,0.0
2021-12-14,1115605.2621343532,1115605.2621343532,0.0,-0.0,0.0,0.0
2021-12-15,1115605.2621343532,1115605.2621343532,0.0,-0.0,0.0,0.0
2021-12-16,1115605.2621343532,1115605.2621343532,0.0,-0.0,0.0,0.0
2021-12-17,1115605.2621343532,1115605.2621343532,0.0,-0.0,0.0,0.0
2021-12-18,1115605.2621343532,1115605.2621343532,0.0,-0.0,0.0,0.0
2021-12-19,1115605.2621343532,1115605.2621343532,0.0,-0.0,0.0,0.0
2021-12-20,1115605.2621343532,1115605.2621343532,0.0,-0.0,0.0,0.0
2021-12-21,1115605.2621343532,1115605.2621343532,0.0,-0.0,0.0,0.0
2021-12-22,1115605.2621343532,1115605.2621343532,0.0,-0.0,0.0,0.0
2021-12-23,1115605.2621343532,1115605.2621343532,0.0,-0.0,0.0,0.0
2021-12-24,1115605.2621343532,1115605.2621343532,0.0,-0.0,0.0,0.0
2021-12-25,1110561.731550304,958060.4346077846,-2452.020803707118,-62.012317762039814,-2514.033121469158,1.0
2021-12-26,1114180.5916420955,959869.8646536804,1809.430045895779,-0.0,1809.430045895779,1.0
2021-12-27,1114041.7428499511,1114041.7428499511,0.0,-61.693428649968354,-61.693428649968354,0.0
2021-12-28,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2021-12-29,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2021-12-30,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
2021-12-31,1114041.7428499511,1114041.7428499511,0.0,-0.0,0.0,0.0
