date,equity,cash,margin,pnl_spot,pnl_perp,pnl_funding,pnl_total,n_active
2021-01-01,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,1001060.9700720287,0.0,35887.34191172675,56743.39560216237,-56445.42516676163,1671.4298691860465,1969.40030458678,1.0
2021-01-04,1002465.3798776005,0.0,-146348.57702960528,239419.90705979592,-240759.91573104623,2800.0788431231654,1460.0701718728546,1.0
2021-01-05,1009438.7546967932,0.0,40014.200819275495,58754.69570382535,-58427.131775749964,6884.49110052006,7212.05502859545,1.0
2021-01-06,1012221.6605265016,0.0,43522.37424307316,51694.60360102177,-51137.12937306893,2277.720421174349,2835.194649127193,1.0
2021-01-07,1015727.5904443132,0.0,5433.431591414243,90761.40038042293,-93256.64792542465,6050.120956335165,3554.873411333442,1.0
2021-01-08,1021108.8850498415,39957.53837174659,46135.88256015231,12297.812914896365,-11045.409071434166,4217.465568353763,5469.869411815963,1.0
2021-01-09,1025286.5148975847,7404.837228352175,96440.04870167891,-6164.552945456448,6763.401489304671,3585.689524370198,4184.53806821842,1.0
2021-01-10,1026454.0636905541,1.4210854715202004e-14,52357.78486957604,45254.25345494323,-46802.13282246932,2723.0065083487875,1175.127140822698,1.0
2021-01-11,1032787.5410200586,41609.397738051404,74617.78418491811,-15901.544691568319,16034.474907331743,6242.739199674683,6375.6694154381075,1.0
2021-01-12,1037942.8705113963,737.5775682673407,224091.24129411057,-125101.37442298238,127618.77781722658,2659.6343255203865,5177.03771976459,1.0
2021-01-13,1038428.8995195493,6.994405055138486e-14,252010.56221659377,-27432.849574222524,27001.637875793378,917.9835598850907,486.77186145594465,1.0
2021-01-14,1039082.4866856441,7.050444340412793e-30,193193.86440232588,59470.28498036275,-59520.06048761448,703.3626733465949,653.5871660948628,1.0
2021-01-15,1039321.7000990249,-5.887779924567896e-46,116989.46587443707,76443.61194126954,-77712.75927205144,1508.360744162629,239.21341338073307,1.0
2021-01-16,1042575.6727504345,0.0,167719.3389489212,-47475.90042307445,49158.359251340866,1571.5138231432732,3253.972651409692,1.0
2021-01-17,1042906.6109050683,0.0,123614.15204268982,44436.125060865175,-46037.90455626709,1932.7176500356866,330.93815463377473,1.0
2021-01-18,1045854.2568929084,0.0,123065.30765084586,3496.490379683975,-2456.0516619120713,1907.207270068118,2947.645987840022,1.0
2021-01-19,1045669.8060963853,0.0,103399.34086302189,19481.515991300974,-21940.2304995735,2274.2637117495246,-184.45079652300092,1.0
2021-01-20,1052634.4038840814,0.0,30371.42640972657,79992.51224099139,-77921.7849454058,4893.870492110476,6964.597787696064,1.0
2021-01-21,1054869.0760860497,42855.81281326819,47812.245815955735,7956.101137711127,-8287.017696895831,2631.0122627604123,2300.0957035757083,1.0
2021-01-22,1057707.4448439835,5922.502189260606,277783.9910160101,-184274.00846852717,185793.74512030414,1324.690556603445,2844.4272083804144,1.0
2021-01-23,1056751.445442561,-1.1501910535116622e-13,192224.1424471776,84607.40101113329,-85923.23949983403,365.77729013196443,-950.061198568777,1.0
2021-01-24,1057127.17700866,0.0,192003.70149516774,596.1725181088859,-777.1740208998265,556.7330688899679,375.7315660990273,1.0
2021-01-25,1059555.196311021,0.0,83101.7633864602,111329.95741106856,-111030.86147232457,2128.923363617021,2428.0193023610154,1.0
2021-01-26,1062636.074160685,13913.107769552667,137761.00850993476,-51570.01551180834,52260.868282744304,2403.8369756714274,3094.6897466073897,1.0
2021-01-27,1062659.751840889,1.2869705301454815e-12,103440.4365367677,34352.59362403131,-35017.33753880832,702.3970186231495,37.65310384613667,1.0
2021-01-28,1064713.7696487438,1.8636838885846404e-29,195068.10518979275,-89573.65084517015,91087.14046881608,540.5281842089602,2054.017807854892,1.0
2021-01-29,1064647.7932226234,-2.0458410196929702e-45,131470.18661183212,63531.94215184042,-64307.11456326096,709.1959853003132,-65.97642612022946,1.0
2021-01-30,1067348.396076779,0.0,98989.91508028185,35180.874385705836,-36356.338834086135,3876.06730253587,2700.6028541555715,1.0
2021-01-31,1069470.7901349026,0.0,102179.24706869817,-1066.9379302927443,1205.8022135485728,1983.5297748677547,2122.394058123583,1.0
2021-02-01,1073543.9517904294,0.0,152292.18428205498,-46039.775557830166,47201.54827803739,2911.3889353194263,4073.1616555266537,1.0
2021-02-02,1073497.8265265827,0.0,108978.91821344174,43267.140804766714,-44621.6923792823,1308.4263106690662,-46.125263846520056,1.0
2021-02-03,1075736.223235378,0.0,14462.891033056803,96754.42388918012,-97768.12598923335,3252.0988088484196,2238.3967087951937,1.0
2021-02-04,1082405.5656644686,0.0,6451.228780915466,98723.02943862381,-96614.54490568179,4645.562189331704,6754.046722273724,1.0
2021-02-05,1087081.5821590372,92608.80591962014,52022.56235231387,-40839.725851694675,41412.55331100851,4195.009869907632,4767.837329221466,1.0
2021-02-06,1090416.6270366306,0.0,26489.243997589976,76389.60854863637,-77410.02148512121,4400.774459839334,3380.3615233544997,1.0
2021-02-07,1093412.610749822,73315.94285191578,54078.04523781627,-24548.807424058206,23972.349966592476,3646.209370419645,3069.751912953914,1.0
2021-02-08,1097649.4227473787,778.266806413327,142031.40983012714,-38449.3261546251,39852.694261719815,2860.483803200804,4263.851910295517,1.0
2021-02-09,1097799.345385079,-4.335420911161236e-14,60215.472256701745,81966.32695338824,-85005.49732555081,3189.881130197527,150.71075803495978,1.0
2021-02-10,1105733.3425492058,40285.57586771848,57081.935696895125,11091.71635425133,-8742.338017863434,5625.593362406314,7974.971698794209,1.0
2021-02-11,1109942.8726834706,3881.9032359876082,117692.95691165548,-16113.584983436482,15705.393839213364,4620.66557266849,4212.474428445373,1.0
2021-02-12,1112587.480802086,4.938272013532696e-13,94649.62057352344,25690.27251222191,-26202.239238906986,3160.4226556230756,2648.455928937998,1.0
2021-02-13,1116003.7312700688,7225.419026848107,67276.33211669158,30793.87620021548,-30366.657538661955,2996.5979219259307,3423.8165834794554,1.0
2021-02-14,1121110.4230868923,27673.838937749115,93392.36260225766,-13767.307586534464,13872.608223595766,5028.910709113417,5134.211346174719,1.0
2021-02-15,1124512.4404038403,803.71518089143,113797.3423386106,-8539.219483841744,7765.023350985703,4194.66194245575,3420.4658095997092,1.0
2021-02-16,1127357.5258384333,-1.1102230246251565e-14,128265.93414499777,-11623.024367629478,12704.614643443212,1764.2770075745357,2845.86728338827,1.0
2021-02-17,1130500.36235481,0.0,129915.18395519591,1493.5867061785166,-1665.1679387037311,3314.4177489018716,3142.836516376657,1.0
2021-02-18,1136075.3698875173,0.0,97471.11033175878,38019.08115614448,-36757.04042471903,4312.966801281904,5575.007532707352,1.0
2021-02-19,1140261.323844561,6555.1121817392495,51886.03384416932,49774.96534816057,-50908.51013202678,5325.477141773234,4191.932357907026,1.0
2021-02-20,1143782.6013597301,45944.738508338254,53148.292150392066,8841.711103833113,-9322.588045645056,4048.580283799737,3567.7033419877944,1.0
2021-02-21,1150490.188704364,5639.490877565321,128418.54273126418,-22614.53945363892,23384.770827854474,5943.191235817091,6713.422610032644,1.0
2021-02-22,1152865.5982105706,9.303668946358812e-13,119769.31983847848,11028.01451513796,-10713.290041721482,2066.381616018537,2381.106089435015,1.0
2021-02-23,1154525.1496453588,-9.338140965553727e-29,204844.26013486303,-83415.38886159631,83428.14560876461,1646.7946876199533,1659.551434788253,1.0
2021-02-24,1154190.0223243986,0.0,311172.0464600754,-106662.91364617276,105889.77463050153,438.0116947108388,-335.12732096039076,1.0
2021-02-25,1155541.7638724367,0.0,288282.45958990563,24241.328418208024,-23576.707517115272,687.1206469454792,1351.7415480382315,1.0
2021-02-26,1156454.272861308,0.0,364574.43988670676,-75379.47130792997,75659.9432677554,632.0370290457215,912.508988871152,1.0
2021-02-27,1156520.057047138,0.0,384687.27371439623,-20047.049641859427,19617.912093331804,494.92173435765153,65.7841858300294,1.0
2021-02-28,1157455.1845546276,0.0,378297.106696569,7325.294525316995,-7085.283453887647,695.1164360604527,935.1275074898005,1.0
2021-03-01,1157167.2083592934,0.0,399167.5304430693,-21158.39994183454,20636.955120208622,233.4686262916835,-287.97619533423534,1.0
2021-03-02,1158033.2718627758,0.0,319177.51659307117,80856.07735348048,-80691.13475647227,701.120906474123,866.0635034823314,1.0
2021-03-03,1159945.5238501541,0.0,365549.1236097438,-44459.35502929436,45328.741132702235,1042.8658839703899,1912.2519873782626,1.0
2021-03-04,1160056.9103725213,0.0,322440.7381297118,43219.77200239904,-43957.56805465325,849.1825746212714,111.38652236705889,1.0
2021-03-05,1160560.1043149852,0.0,338150.1962727973,-15206.264200621545,14901.503529147549,807.9546139379379,503.193942463942,1.0
2021-03-06,1160922.3382533742,0.0,344464.56595239963,-5952.1357412131165,5842.157667173862,472.2120124284796,362.2339383892253,1.0
2021-03-07,1162251.8911207712,0.0,280288.56748472265,65505.551335073826,-65170.735985870764,994.7375181937583,1329.5528673968197,1.0
2021-03-08,1163576.5665721393,0.0,241123.75941103467,40489.483525056174,-40457.60875815449,1292.8006844665106,1324.6754513681917,1.0
2021-03-09,1164704.9301700646,0.0,185209.93165061992,57042.19135833991,-56949.032821382236,1035.205060967481,1128.3635979251524,1.0
2021-03-10,1165843.848319748,0.0,166430.03288536408,19918.816914939212,-20754.331803932557,1974.4330386767267,1138.9181496833824,1.0
2021-03-11,1168661.2271638347,0.0,209437.68555836004,-40190.27382890905,40852.42123977173,2155.2314332242395,2817.3788440869184,1.0
2021-03-12,1169661.6981005704,0.0,194141.91411565233,16296.242379443307,-17158.33703893252,1862.5655962248115,1000.4709367355977,1.0
2021-03-13,1173012.8968167873,0.0,229364.28850182952,-31871.17566996036,32886.81265795397,2335.5617282232347,3351.198716216841,1.0
2021-03-14,1174513.1375567303,0.0,147395.7100772931,83468.81916447968,-84095.0585844695,2126.480159933064,1500.2407399432377,1.0
2021-03-15,1177955.3127512808,0.0,190509.88516278326,-39671.99989093985,39716.00152917085,3398.173556319323,3442.1751945503215,1.0
2021-03-16,1180304.1212354996,0.0,221769.83053722105,-28911.136890218873,29562.918387041354,1697.0269873964367,2348.808484218918,1.0
2021-03-17,1180617.3338134137,0.0,216195.02373738214,5888.0193777529485,-6487.729427656105,912.9226278172102,313.21257791405355,1.0
2021-03-18,1181830.828657197,0.0,207486.5113357144,9922.007245451186,-9971.68281273784,1263.1704110701053,1213.4948437834523,1.0
2021-03-19,1184183.8923289445,0.0,235304.45736169998,-25464.882354238216,25817.535115483344,2000.4109105022358,2353.063671747364,1.0
2021-03-20,1184543.8485891207,0.0,217984.32639775236,17680.087224123858,-17867.932445082362,547.8014811347359,359.9562601762311,1.0
2021-03-21,1187249.0023063682,0.0,221993.17950535528,-1303.6993903554937,1926.0446738353398,2082.8084337675677,2705.1537172474136,1.0
2021-03-22,1187801.3849501342,0.0,235016.1948421117,-12470.632692990343,12084.46311977059,938.552216985828,552.3826437660748,1.0
2021-03-23,1189634.2634200458,0.0,291380.0404348426,-54530.967122819115,55017.65284374115,1346.192748989758,1832.8784699117905,1.0
2021-03-24,1189847.930555442,0.0,298523.61785421835,-6929.910283979676,6578.429592351993,565.1478270237659,213.66713539608293,1.0
2021-03-25,1191231.7047556113,0.0,346028.42950335634,-46121.037448968695,46587.8728308328,916.9388183052134,1383.7742001693177,1.0
2021-03-26,1190917.2766643176,0.0,343603.50444816763,2110.4969638950197,-2897.069966461581,472.14491127287073,-314.42809129369044,1.0
2021-03-27,1192194.9290905772,0.0,284499.5715858733,60381.5852885537,-59632.690635618244,528.7577733239425,1277.6524262594005,1.0
2021-03-28,1192082.4343141685,0.0,277077.8113750128,7309.265434451982,-7965.608581817879,543.8483709573347,-112.49477640856185,1.0
2021-03-29,1193106.6567398093,0.0,291651.9586118889,-13549.92481123543,13781.089729963574,793.0575069125384,1024.222425640682,1.0
2021-03-30,1194281.142715893,0.0,223580.77205105958,69245.67253691315,-69422.97311896442,1351.7865581350914,1174.4859760838142,1.0
2021-03-31,1195202.3707908222,0.0,211865.7334940597,12636.266631929038,-13338.25951409552,1623.2209570956556,921.228074929174,1.0
2021-04-01,1197085.8746576593,0.0,171560.67020414796,42188.56715674887,-42490.35950810262,2185.296218190878,1883.5038668371244,1.0
2021-04-02,1201584.178827446,0.0,150049.10293028527,26009.87144364922,-24905.19816471919,3393.6308908565084,4498.304169786537,1.0
2021-04-03,1203349.5715619838,0.0,63312.54196872523,88501.95369609806,-89771.82183366861,3035.260872108565,1765.3927345380157,1.0
2021-04-04,1206727.1652404012,46849.775461629855,130811.07779244846,-64092.81915646754,64101.36541520935,3416.1878743690886,3424.7341331108964,1.0
2021-04-05,1209971.6655420274,1.1112888387287967e-11,98136.64580898227,35947.02903805201,-34858.93507876735,2203.2304037986078,3291.3243630832703,1.0
2021-04-06,1212106.1424818127,12652.583121826381,83476.2812088135,16802.436634069334,-17213.53771589215,2557.80183970713,2146.700757884313,1.0
2021-04-07,1215621.1206940967,14854.496392392393,97150.02601902225,2502.733382779259,-2133.9921566349167,3161.2648727116734,3530.006098856016,1.0
2021-04-08,1217378.9383684953,883.0312992143728,189963.35941980494,-77774.42972524819,77858.42580068094,1674.6594450492219,1758.6555204819695,1.0
2021-04-09,1218427.2769478802,-9.71445146547012e-15,129826.54427518579,61185.683295640716,-60958.3068841738,821.8450431400895,1049.221454607007,1.0
