symbol,funding_time,funding_rate,mark_price
ETHUSDT,2021-02-01 16:00:00+00:00,0.00061764,
ETHUSDT,2021-02-02 00:00:00+00:00,0.00050304,
ETHUSDT,2021-02-02 08:00:00.006000+00:00,0.00120708,
ETHUSDT,2021-02-02 16:00:00+00:00,0.00165937,
ETHUSDT,2021-02-03 00:00:00.009000+00:00,0.00151935,
ETHUSDT,2021-02-03 08:00:00.006000+00:00,0.00155522,
ETHUSDT,2021-02-03 16:00:00.006000+00:00,0.00167923,
ETHUSDT,2021-02-04 00:00:00.005000+00:00,0.00146092,
ETHUSDT,2021-02-04 08:00:00+00:00,0.00135459,
ETHUSDT,2021-02-04 16:00:00.011000+00:00,0.00145079,
ETHUSDT,2021-02-05 00:00:00.009000+00:00,0.00113736,
ETHUSDT,2021-02-05 08:00:00.004000+00:00,0.0017643,
ETHUSDT,2021-02-05 16:00:00+00:00,0.00155465,
ETHUSDT,2021-02-06 00:00:00.008000+00:00,0.00117123,
ETHUSDT,2021-02-06 08:00:00.009000+00:00,0.00107002,
ETHUSDT,2021-02-06 16:00:00+00:00,0.00143968,
ETHUSDT,2021-02-07 00:00:00+00:00,0.00171115,
ETHUSDT,2021-02-07 08:00:00.005000+00:00,0.00051183,
ETHUSDT,2021-02-07 16:00:00.001000+00:00,0.00065683,
ETHUSDT,2021-02-08 00:00:00+00:00,0.0001,
ETHUSDT,2021-02-08 08:00:00.001000+00:00,0.00039877,
ETHUSDT,2021-02-08 16:00:00+00:00,0.00284408,
ETHUSDT,2021-02-09 00:00:00.010000+00:00,0.00227548,
ETHUSDT,2021-02-09 08:00:00.006000+00:00,0.00193315,
ETHUSDT,2021-02-09 16:00:00.007000+00:00,0.00143234,
ETHUSDT,2021-02-10 00:00:00.009000+00:00,0.00156788,
ETHUSDT,2021-02-10 08:00:00.014000+00:00,0.00218071,
ETHUSDT,2021-02-10 16:00:00.005000+00:00,0.00085146,
ETHUSDT,2021-02-11 00:00:00+00:00,0.00071884,
ETHUSDT,2021-02-11 08:00:00+00:00,0.00065956,
ETHUSDT,2021-02-11 16:00:00+00:00,0.00180566,
ETHUSDT,2021-02-12 00:00:00+00:00,0.00092117,
ETHUSDT,2021-02-12 08:00:00+00:00,0.00050482,
ETHUSDT,2021-02-12 16:00:00+00:00,0.00153886,
ETHUSDT,2021-02-13 00:00:00.001000+00:00,0.00228313,
ETHUSDT,2021-02-13 08:00:00.003000+00:00,0.00173035,
ETHUSDT,2021-02-13 16:00:00+00:00,0.00094692,
ETHUSDT,2021-02-14 00:00:00.013000+00:00,0.00110785,
ETHUSDT,2021-02-14 08:00:00+00:00,0.00176822,
ETHUSDT,2021-02-14 16:00:00.008000+00:00,0.0012426,
ETHUSDT,2021-02-15 00:00:00+00:00,0.0007946,
ETHUSDT,2021-02-15 08:00:00.006000+00:00,0.00013827,
ETHUSDT,2021-02-15 16:00:00+00:00,0.00081146,
ETHUSDT,2021-02-16 00:00:00.001000+00:00,0.00104485,
ETHUSDT,2021-02-16 08:00:00+00:00,0.00112937,
ETHUSDT,2021-02-16 16:00:00.010000+00:00,0.00114441,
ETHUSDT,2021-02-17 00:00:00.005000+00:00,0.00092761,
ETHUSDT,2021-02-17 08:00:00.010000+00:00,0.00106083,
ETHUSDT,2021-02-17 16:00:00.008000+00:00,0.00232282,
ETHUSDT,2021-02-18 00:00:00.012000+00:00,0.0019495,
ETHUSDT,2021-02-18 08:00:00+00:00,0.00202078,
ETHUSDT,2021-02-18 16:00:00.009000+00:00,0.00118984,
ETHUSDT,2021-02-19 00:00:00.010000+00:00,0.00082051,
ETHUSDT,2021-02-19 08:00:00.002000+00:00,0.00139773,
ETHUSDT,2021-02-19 16:00:00.008000+00:00,0.00169023,
ETHUSDT,2021-02-20 00:00:00+00:00,0.00196264,
ETHUSDT,2021-02-20 08:00:00.009000+00:00,0.00189841,
ETHUSDT,2021-02-20 16:00:00+00:00,0.0018588,
ETHUSDT,2021-02-21 00:00:00.007000+00:00,0.00051516,
ETHUSDT,2021-02-21 08:00:00.012000+00:00,0.0004355,
ETHUSDT,2021-02-21 16:00:00.001000+00:00,0.00107233,
ETHUSDT,2021-02-22 00:00:00.006000+00:00,0.00077647,
ETHUSDT,2021-02-22 08:00:00.002000+00:00,0.00047334,
ETHUSDT,2021-02-22 16:00:00+00:00,0.00034567,
ETHUSDT,2021-02-23 00:00:00+00:00,0.0001,
ETHUSDT,2021-02-23 08:00:00.006000+00:00,0.00026168,
ETHUSDT,2021-02-23 16:00:00+00:00,0.0001,
ETHUSDT,2021-02-24 00:00:00.012000+00:00,0.00013438,
ETHUSDT,2021-02-24 08:00:00.016000+00:00,0.00039328,
ETHUSDT,2021-02-24 16:00:00.011000+00:00,0.00028758,
ETHUSDT,2021-02-25 00:00:00.007000+00:00,0.0004677,
ETHUSDT,2021-02-25 08:00:00+00:00,0.00016178,
ETHUSDT,2021-02-25 16:00:00.010000+00:00,0.0001,
ETHUSDT,2021-02-26 00:00:00+00:00,0.0001,
ETHUSDT,2021-02-26 08:00:00.025000+00:00,0.00014852,
ETHUSDT,2021-02-26 16:00:00.010000+00:00,0.00037736,
ETHUSDT,2021-02-27 00:00:00.001000+00:00,0.00018181,
ETHUSDT,2021-02-27 08:00:00+00:00,0.0006196,
ETHUSDT,2021-02-27 16:00:00+00:00,0.0001,
ETHUSDT,2021-02-28 00:00:00.021000+00:00,0.0001,
ETHUSDT,2021-02-28 08:00:00.009000+00:00,0.0001,
ETHUSDT,2021-02-28 16:00:00+00:00,0.0001,
ETHUSDT,2021-03-01 00:00:00+00:00,0.0001,
ETHUSDT,2021-03-01 08:00:00.003000+00:00,0.00033427,
ETHUSDT,2021-03-01 16:00:00.001000+00:00,0.00049119,
ETHUSDT,2021-03-02 00:00:00+00:00,0.00049538,
ETHUSDT,2021-03-02 08:00:00+00:00,0.00035713,
ETHUSDT,2021-03-02 16:00:00.004000+00:00,0.00039154,
ETHUSDT,2021-03-03 00:00:00+00:00,0.0001,
ETHUSDT,2021-03-03 08:00:00.016000+00:00,0.0001,
ETHUSDT,2021-03-03 16:00:00+00:00,0.00087091,
ETHUSDT,2021-03-04 00:00:00+00:00,0.00047552,
ETHUSDT,2021-03-04 08:00:00.015000+00:00,0.00015927,
ETHUSDT,2021-03-04 16:00:00.001000+00:00,0.00033061,
ETHUSDT,2021-03-05 00:00:00+00:00,0.00024885,
ETHUSDT,2021-03-05 08:00:00.002000+00:00,0.00022561,
ETHUSDT,2021-03-05 16:00:00.008000+00:00,0.0001,
ETHUSDT,2021-03-06 00:00:00+00:00,0.00031476,
ETHUSDT,2021-03-06 08:00:00+00:00,0.00057512,
ETHUSDT,2021-03-06 16:00:00+00:00,0.00032891,
ETHUSDT,2021-03-07 00:00:00.006000+00:00,0.00066496,
ETHUSDT,2021-03-07 08:00:00.005000+00:00,0.00023263,
ETHUSDT,2021-03-07 16:00:00.008000+00:00,0.00056927,
ETHUSDT,2021-03-08 00:00:00+00:00,0.00011144,
ETHUSDT,2021-03-08 08:00:00+00:00,0.00045102,
ETHUSDT,2021-03-08 16:00:00.006000+00:00,0.00056057,
ETHUSDT,2021-03-09 00:00:00+00:00,0.00014784,
ETHUSDT,2021-03-09 08:00:00+00:00,0.00085203,
ETHUSDT,2021-03-09 16:00:00+00:00,0.00101744,
ETHUSDT,2021-03-10 00:00:00.009000+00:00,0.00058485,
ETHUSDT,2021-03-10 08:00:00.006000+00:00,0.0005129,
ETHUSDT,2021-03-10 16:00:00.008000+00:00,0.00105856,
ETHUSDT,2021-03-11 00:00:00+00:00,0.00079368,
ETHUSDT,2021-03-11 08:00:00+00:00,0.00034874,
ETHUSDT,2021-03-11 16:00:00.014000+00:00,0.00080049,
ETHUSDT,2021-03-12 00:00:00.002000+00:00,0.00132622,
ETHUSDT,2021-03-12 08:00:00.005000+00:00,0.00072213,
ETHUSDT,2021-03-12 16:00:00.011000+00:00,0.00034512,
ETHUSDT,2021-03-13 00:00:00+00:00,0.00030351,
ETHUSDT,2021-03-13 08:00:00.002000+00:00,0.00039972,
ETHUSDT,2021-03-13 16:00:00+00:00,0.00155198,
ETHUSDT,2021-03-14 00:00:00.011000+00:00,0.00113056,
ETHUSDT,2021-03-14 08:00:00+00:00,0.001048,
ETHUSDT,2021-03-14 16:00:00+00:00,0.00113023,
ETHUSDT,2021-03-15 00:00:00.012000+00:00,0.00077413,
ETHUSDT,2021-03-15 08:00:00.016000+00:00,0.00081452,
ETHUSDT,2021-03-15 16:00:00.030000+00:00,0.00013021,
ETHUSDT,2021-03-16 00:00:00.005000+00:00,0.0001,
ETHUSDT,2021-03-16 08:00:00.008000+00:00,0.00045668,
ETHUSDT,2021-03-16 16:00:00.012000+00:00,0.00039653,
ETHUSDT,2021-03-17 00:00:00.010000+00:00,0.00064671,
ETHUSDT,2021-03-17 08:00:00+00:00,0.00034812,
ETHUSDT,2021-03-17 16:00:00.009000+00:00,0.00031521,
ETHUSDT,2021-03-18 00:00:00.001000+00:00,0.00099682,
ETHUSDT,2021-03-18 08:00:00+00:00,0.00067631,
ETHUSDT,2021-03-18 16:00:00+00:00,0.00038027,
